word	freq	tag	base	lemma
volt	588	3sg.past.indef	volt	van
lett	275	3sg.past.indef	lett	lesz
jött	270	3sg.past.indef	jött	jön
mondotta	226	3sg.past.def	mondotta	mond
látta	202	3sg.past.def	látta	lát
tett	160	3sg.past.indef	tett	tesz
adott	151	3sg.past.indef	adott	ad
hallotta	140	3sg.past.def	hallotta	hall
eljött	136	3sg.past.indef	jött	jön
ment	104	3sg.past.indef	ment	megy
cselekedett	87	3sg.past.indef	cselekedett	cselekszik
vette	81	3sg.past.def	vette	vesz
bocsátott	78	3sg.past.indef	bocsátott	bocsát
adta	74	3sg.past.def	adta	ad
mondott	70	3sg.past.indef	mondott	mond
feltámadott	66	3sg.past.indef	támadott	támad
bement	61	3sg.past.indef	ment	megy
teremt	59	3sg.past.indef	teremt	terem
támadott	57	3sg.past.indef	támadott	támad
megmondotta	53	3sg.past.def	mondotta	mond
vett	53	3sg.past.indef	vett	vesz
jutott	52	3sg.past.indef	jutott	jut
látott	52	3sg.past.indef	látott	lát
tette	52	3sg.past.def	tette	tesz
elveszett	49	3sg.past.indef	veszett	vesz
parancsolt	47	3sg.past.indef	parancsolt	parancsol
halt	46	3sg.past.indef	halt	hal
eresztett	43	3sg.past.indef	eresztett	ereszt
elbocsátott	39	3sg.past.indef	bocsátott	bocsát
elvégezte	38	3sg.past.def	végezte	végez
felkelt	37	3sg.past.indef	kelt	kel
elküldött	34	3sg.past.indef	küldött	küld
esett	33	3sg.past.indef	esett	es
hallott	30	3sg.past.indef	hallott	hall
küldött	29	3sg.past.indef	küldött	küld
szólott	29	3sg.past.indef	szólott	szól
elközelgett	28	3sg.past.indef	közelgett	közelg
megismerte	28	3sg.past.def	ismerte	ismer
történt	28	3sg.past.indef	történt	történ
hívta	27	3sg.past.def	hívta	hív
szólt	27	3sg.past.indef	szólt	szól
megaszott	26	3sg.past.indef	aszott	asz
teremtett	26	3sg.past.indef	teremtett	teremt
elmúlt	24	3sg.past.indef	múlt	múl
font	24	3sg.past.indef	font	fon
letelepedett	24	3sg.past.indef	letelepedett	leteleped
megnyitotta	24	3sg.past.def	nyitotta	nyit
leszállott	23	3sg.past.indef	leszállott	leszáll
mondta	23	3sg.past.def	mondta	mond
szerzett	23	3sg.past.indef	szerzett	szerz
kűldött	22	3sg.past.indef	kűldött	kűld
parancsolta	21	3sg.past.def	parancsolta	parancsol
ült	21	3sg.past.indef	ült	ül
hagyta	20	3sg.past.def	hagyta	hagy
