"book","chapter","verse","heading"
"Matthew",1,2,"The Genealogy of Jesus the Messiah(A)(B)(C)"
"Matthew",1,18,"Joseph Accepts Jesus as His Son"
"Matthew",2,2,"The Magi Visit the Messiah"
"Matthew",2,13,"The Escape to Egypt"
"Matthew",2,19,"The Return to Nazareth"
"Matthew",3,2,"John the Baptist Prepares the Way(A)"
"Matthew",3,13,"The Baptism of Jesus(R)"
"Matthew",4,2,"Jesus Is Tested in the Wilderness(A)"
"Matthew",4,12,"Jesus Begins to Preach"
"Matthew",4,18,"Jesus Calls His First Disciples(V)"
"Matthew",4,23,"Jesus Heals the Sick"
"Matthew",5,2,"Introduction to the Sermon on the Mount"
"Matthew",5,3,"The Beatitudes(A)"
"Matthew",5,13,"Salt and Light"
"Matthew",5,17,"The Fulfillment of the Law"
"Matthew",5,21,"Murder(AA)"
"Matthew",5,27,"Adultery"
"Matthew",5,31,"Divorce"
"Matthew",5,33,"Oaths"
"Matthew",5,38,"Eye for Eye"
"Matthew",5,43,"Love for Enemies"
"Matthew",6,2,"Giving to the Needy"
"Matthew",6,5,"Prayer(C)"
"Matthew",6,16,"Fasting"
"Matthew",6,19,"Treasures in Heaven(U)"
"Matthew",6,25,"Do Not Worry(AB)"
"Matthew",7,2,"Judging Others(A)"
"Matthew",7,7,"Ask, Seek, Knock(D)"
"Matthew",7,13,"The Narrow and Wide Gates"
"Matthew",7,15,"True and False Prophets"
"Matthew",7,21,"True and False Disciples"
"Matthew",7,24,"The Wise and Foolish Builders(W)"
"Matthew",8,2,"Jesus Heals a Man With Leprosy(A)"
"Matthew",8,5,"The Faith of the Centurion(G)"
"Matthew",8,14,"Jesus Heals Many(P)"
"Matthew",8,18,"The Cost of Following Jesus(T)"
"Matthew",8,23,"Jesus Calms the Storm(X)(Y)"
"Matthew",8,28,"Jesus Restores Two Demon-Possessed Men(AB)"
"Matthew",9,2,"Jesus Forgives and Heals a Paralyzed Man(A)"
"Matthew",9,9,"The Calling of Matthew(K)"
"Matthew",9,14,"Jesus Questioned About Fasting(P)"
"Matthew",9,18,"Jesus Raises a Dead Girl and Heals a Sick Woman(U)"
"Matthew",9,27,"Jesus Heals the Blind and the Mute"
"Matthew",9,35,"The Workers Are Few"
"Matthew",10,2,"Jesus Sends Out the Twelve(A)(B)(C)(D)(E)"
"Matthew",11,2,"Jesus and John the Baptist(A)"
"Matthew",11,20,"Woe on Unrepentant Towns(S)"
"Matthew",11,25,"The Father Revealed in the Son(AA)"
"Matthew",12,2,"Jesus Is Lord of the Sabbath(A)(B)"
"Matthew",12,15,"God’s Chosen Servant"
"Matthew",12,22,"Jesus and Beelzebul(V)"
"Matthew",12,38,"The Sign of Jonah(AN)(AO)"
"Matthew",12,46,"Jesus’ Mother and Brothers(AZ)"
"Matthew",13,2,"The Parable of the Sower(A)(B)(C)"
"Matthew",13,24,"The Parable of the Weeds"
"Matthew",13,31,"The Parables of the Mustard Seed and the Yeast(W)(X)"
"Matthew",13,36,"The Parable of the Weeds Explained"
"Matthew",13,44,"The Parables of the Hidden Treasure and the Pearl"
"Matthew",13,47,"The Parable of the Net"
"Matthew",13,53,"A Prophet Without Honor(AZ)"
"Matthew",14,2,"John the Baptist Beheaded(A)"
"Matthew",14,13,"Jesus Feeds the Five Thousand(K)(L)"
"Matthew",14,22,"Jesus Walks on the Water(Q)(R)"
"Matthew",15,2,"That Which Defiles(A)"
"Matthew",15,21,"The Faith of a Canaanite Woman(Q)"
"Matthew",15,29,"Jesus Feeds the Four Thousand(X)(Y)(Z)"
"Matthew",16,2,"The Demand for a Sign(A)"
"Matthew",16,5,"The Yeast of the Pharisees and Sadducees"
"Matthew",16,13,"Peter Declares That Jesus Is the Messiah(K)"
"Matthew",16,21,"Jesus Predicts His Death(V)"
"Matthew",17,2,"The Transfiguration(A)(B)"
"Matthew",17,14,"Jesus Heals a Demon-Possessed Boy(O)"
"Matthew",17,22,"Jesus Predicts His Death a Second Time"
"Matthew",17,24,"The Temple Tax"
"Matthew",18,2,"The Greatest in the Kingdom of Heaven(A)"
"Matthew",18,6,"Causing to Stumble"
"Matthew",18,10,"The Parable of the Wandering Sheep(K)"
"Matthew",18,15,"Dealing With Sin in the Church"
"Matthew",18,21,"The Parable of the Unmerciful Servant"
"Matthew",19,2,"Divorce(A)"
"Matthew",19,13,"The Little Children and Jesus(J)"
"Matthew",19,16,"The Rich and the Kingdom of God(N)"
"Matthew",20,2,"The Parable of the Workers in the Vineyard"
"Matthew",20,17,"Jesus Predicts His Death a Third Time(I)"
"Matthew",20,20,"A Mother’s Request(Q)"
"Matthew",20,29,"Two Blind Men Receive Sight(AB)"
"Matthew",21,2,"Jesus Comes to Jerusalem as King(A)(B)"
"Matthew",21,12,"Jesus at the Temple(K)"
"Matthew",21,18,"Jesus Curses a Fig Tree(V)"
"Matthew",21,23,"The Authority of Jesus Questioned(Z)"
"Matthew",21,28,"The Parable of the Two Sons"
"Matthew",21,33,"The Parable of the Tenants(AJ)"
"Matthew",22,2,"The Parable of the Wedding Banquet(A)"
"Matthew",22,15,"Paying the Imperial Tax to Caesar(K)"
"Matthew",22,23,"Marriage at the Resurrection(P)"
"Matthew",22,34,"The Greatest Commandment(X)"
"Matthew",22,41,"Whose Son Is the Messiah?(AD)"
"Matthew",23,2,"A Warning Against Hypocrisy(A)(B)"
"Matthew",23,13,"Seven Woes on the Teachers of the Law and the Pharisees"
"Matthew",24,2,"The Destruction of the Temple and Signs of the End Times(A)"
"Matthew",24,36,"The Day and Hour Unknown(AL)(AM)"
"Matthew",25,2,"The Parable of the Ten Virgins"
"Matthew",25,14,"The Parable of the Bags of Gold(J)"
"Matthew",25,31,"The Sheep and the Goats"
"Matthew",26,2,"The Plot Against Jesus(A)"
"Matthew",26,6,"Jesus Anointed at Bethany(H)(I)"
"Matthew",26,14,"Judas Agrees to Betray Jesus(M)"
"Matthew",26,17,"The Last Supper(P)(Q)(R)"
"Matthew",26,31,"Jesus Predicts Peter’s Denial(AG)"
"Matthew",26,36,"Gethsemane(AM)"
"Matthew",26,47,"Jesus Arrested(AW)"
"Matthew",26,57,"Jesus Before the Sanhedrin(BH)"
"Matthew",26,69,"Peter Disowns Jesus(CB)"
"Matthew",27,2,"Judas Hangs Himself"
"Matthew",27,11,"Jesus Before Pilate(L)"
"Matthew",27,27,"The Soldiers Mock Jesus(AD)"
"Matthew",27,32,"The Crucifixion of Jesus(AJ)"
"Matthew",27,45,"The Death of Jesus(AZ)"
"Matthew",27,57,"The Burial of Jesus(BL)"
"Matthew",27,62,"The Guard at the Tomb"
"Matthew",28,2,"Jesus Has Risen(A)"
"Matthew",28,11,"The Guards’ Report"
"Matthew",28,16,"The Great Commission"
"Mark",1,2,"John the Baptist Prepares the Way(A)"
"Mark",1,9,"The Baptism and Testing of Jesus(L)(M)"
"Mark",1,14,"Jesus Announces the Good News(U)"
"Mark",1,16,"Jesus Calls His First Disciples"
"Mark",1,21,"Jesus Drives Out an Impure Spirit(AC)"
"Mark",1,29,"Jesus Heals Many(AM)(AN)"
